id,ligne,gare_depart,destination,position_gps,heure_de_captage
1,21,Stade Charléty,Alésia,"48.84181,2.34498",01/07/2025 06:05
1,21,Alésia,Denfert-Rochereau,"48.84547,2.35291",01/07/2025 06:10
1,21,Denfert-Rochereau,Montparnasse,"48.85662,2.34624",01/07/2025 06:15
1,21,Montparnasse,Opéra,"48.85455,2.35894",01/07/2025 06:20
1,21,Opéra,Gare Saint-Lazare,"48.84484,2.35545",01/07/2025 06:25
2,21,Stade Charléty,Alésia,"48.85526,2.35539",01/07/2025 06:08
2,21,Alésia,Denfert-Rochereau,"48.85836,2.35395",01/07/2025 06:13
2,21,Denfert-Rochereau,Montparnasse,"48.85076,2.35092",01/07/2025 06:18
2,21,Montparnasse,Opéra,"48.85296,2.35634",01/07/2025 06:23
2,21,Opéra,Gare Saint-Lazare,"48.85873,2.35373",01/07/2025 06:28
3,21,Stade Charléty,Alésia,"48.84336,2.34800",01/07/2025 06:11
3,21,Alésia,Denfert-Rochereau,"48.85163,2.35852",01/07/2025 06:16
3,21,Denfert-Rochereau,Montparnasse,"48.85595,2.34163",01/07/2025 06:21
3,21,Montparnasse,Opéra,"48.84778,2.35637",01/07/2025 06:26
3,21,Opéra,Gare Saint-Lazare,"48.84424,2.34025",01/07/2025 06:31
4,21,Stade Charléty,Alésia,"48.84964,2.35085",01/07/2025 06:14
4,21,Alésia,Denfert-Rochereau,"48.84748,2.34399",01/07/2025 06:19
4,21,Denfert-Rochereau,Montparnasse,"48.84606,2.34015",01/07/2025 06:24
4,21,Montparnasse,Opéra,"48.84486,2.35207",01/07/2025 06:29
4,21,Opéra,Gare Saint-Lazare,"48.85154,2.34544",01/07/2025 06:34
5,21,Stade Charléty,Alésia,"48.84074,2.35140",01/07/2025 06:17
5,21,Alésia,Denfert-Rochereau,"48.84196,2.34612",01/07/2025 06:22
5,21,Denfert-Rochereau,Montparnasse,"48.84319,2.34729",01/07/2025 06:27
5,21,Montparnasse,Opéra,"48.84159,2.35335",01/07/2025 06:32
5,21,Opéra,Gare Saint-Lazare,"48.84205,2.34232",01/07/2025 06:37
6,21,Stade Charléty,Alésia,"48.84369,2.35699",01/07/2025 06:20
6,21,Alésia,Denfert-Rochereau,"48.84357,2.34344",01/07/2025 06:25
6,21,Denfert-Rochereau,Montparnasse,"48.84246,2.34084",01/07/2025 06:30
6,21,Montparnasse,Opéra,"48.84885,2.34369",01/07/2025 06:35
6,21,Opéra,Gare Saint-Lazare,"48.85913,2.35299",01/07/2025 06:40
7,21,Stade Charléty,Alésia,"48.85743,2.35997",01/07/2025 06:23
7,21,Alésia,Denfert-Rochereau,"48.85419,2.34170",01/07/2025 06:28
7,21,Denfert-Rochereau,Montparnasse,"48.85971,2.35636",01/07/2025 06:33
7,21,Montparnasse,Opéra,"48.84875,2.35386",01/07/2025 06:38
7,21,Opéra,Gare Saint-Lazare,"48.84818,2.35674",01/07/2025 06:43
8,21,Stade Charléty,Alésia,"48.85969,2.34863",01/07/2025 06:26
8,21,Alésia,Denfert-Rochereau,"48.85601,2.35876",01/07/2025 06:31
8,21,Denfert-Rochereau,Montparnasse,"48.85192,2.35572",01/07/2025 06:36
8,21,Montparnasse,Opéra,"48.85221,2.34295",01/07/2025 06:41
8,21,Opéra,Gare Saint-Lazare,"48.84260,2.34745",01/07/2025 06:46
9,21,Stade Charléty,Alésia,"48.84049,2.34787",01/07/2025 06:29
9,21,Alésia,Denfert-Rochereau,"48.85224,2.34876",01/07/2025 06:34
9,21,Denfert-Rochereau,Montparnasse,"48.84307,2.34299",01/07/2025 06:39
9,21,Montparnasse,Opéra,"48.85751,2.35098",01/07/2025 06:44
9,21,Opéra,Gare Saint-Lazare,"48.84942,2.35955",01/07/2025 06:49
10,21,Stade Charléty,Alésia,"48.85076,2.34872",01/07/2025 06:32
10,21,Alésia,Denfert-Rochereau,"48.84976,2.35638",01/07/2025 06:37
10,21,Denfert-Rochereau,Montparnasse,"48.84207,2.34509",01/07/2025 06:42
10,21,Montparnasse,Opéra,"48.85396,2.34449",01/07/2025 06:47
10,21,Opéra,Gare Saint-Lazare,"48.84655,2.34513",01/07/2025 06:52
11,38,Gare du Nord,Châtelet,"48.85464,2.35340",01/07/2025 06:35
11,38,Châtelet,Luxembourg,"48.84202,2.34039",01/07/2025 06:40
11,38,Luxembourg,Raspail,"48.85571,2.34805",01/07/2025 06:45
11,38,Raspail,Alésia,"48.84486,2.34446",01/07/2025 06:50
11,38,Alésia,Porte d'Orléans,"48.84853,2.35391",01/07/2025 06:55
12,38,Gare du Nord,Châtelet,"48.84853,2.34426",01/07/2025 06:38
12,38,Châtelet,Luxembourg,"48.85355,2.34258",01/07/2025 06:43
12,38,Luxembourg,Raspail,"48.85525,2.35336",01/07/2025 06:48
12,38,Raspail,Alésia,"48.84632,2.35197",01/07/2025 06:53
12,38,Alésia,Porte d'Orléans,"48.85720,2.34137",01/07/2025 06:58
13,38,Gare du Nord,Châtelet,"48.85820,2.34281",01/07/2025 06:41
13,38,Châtelet,Luxembourg,"48.84139,2.35754",01/07/2025 06:46
13,38,Luxembourg,Raspail,"48.84691,2.35089",01/07/2025 06:51
13,38,Raspail,Alésia,"48.84805,2.34834",01/07/2025 06:56
13,38,Alésia,Porte d'Orléans,"48.85386,2.34527",01/07/2025 07:01
14,38,Gare du Nord,Châtelet,"48.84497,2.35422",01/07/2025 06:44
14,38,Châtelet,Luxembourg,"48.84416,2.34562",01/07/2025 06:49
14,38,Luxembourg,Raspail,"48.84638,2.34081",01/07/2025 06:54
14,38,Raspail,Alésia,"48.85920,2.34296",01/07/2025 06:59
14,38,Alésia,Porte d'Orléans,"48.85850,2.34631",01/07/2025 07:04
15,38,Gare du Nord,Châtelet,"48.85073,2.34395",01/07/2025 06:47
15,38,Châtelet,Luxembourg,"48.85040,2.35742",01/07/2025 06:52
15,38,Luxembourg,Raspail,"48.85658,2.35872",01/07/2025 06:57
15,38,Raspail,Alésia,"48.84323,2.34899",01/07/2025 07:02
15,38,Alésia,Porte d'Orléans,"48.85498,2.34896",01/07/2025 07:07
16,38,Gare du Nord,Châtelet,"48.84362,2.35713",01/07/2025 06:50
16,38,Châtelet,Luxembourg,"48.84851,2.35320",01/07/2025 06:55
16,38,Luxembourg,Raspail,"48.85880,2.35313",01/07/2025 07:00
16,38,Raspail,Alésia,"48.84105,2.34895",01/07/2025 07:05
16,38,Alésia,Porte d'Orléans,"48.84213,2.34162",01/07/2025 07:10
17,38,Gare du Nord,Châtelet,"48.85686,2.34156",01/07/2025 06:53
17,38,Châtelet,Luxembourg,"48.84277,2.35358",01/07/2025 06:58
17,38,Luxembourg,Raspail,"48.85687,2.35361",01/07/2025 07:03
17,38,Raspail,Alésia,"48.85139,2.34120",01/07/2025 07:08
17,38,Alésia,Porte d'Orléans,"48.85057,2.34030",01/07/2025 07:13
18,38,Gare du Nord,Châtelet,"48.85237,2.34309",01/07/2025 06:56
18,38,Châtelet,Luxembourg,"48.85246,2.35351",01/07/2025 07:01
18,38,Luxembourg,Raspail,"48.85781,2.34699",01/07/2025 07:06
18,38,Raspail,Alésia,"48.84245,2.35954",01/07/2025 07:11
18,38,Alésia,Porte d'Orléans,"48.85148,2.35357",01/07/2025 07:16
