gid;id_com;code_arm;coddep;ident;id_cad;adresse;pos_rese;marque;etat_foy;type_amp;plamp;boite_cl;cable_de_t;type_app;code_sup;type_sup;etat_sup;commun_edf;hauteur;crosse;etat_cro;commenta;source;dat_source;id_cad_2;boitier_cl;class_lum;cod_dep;cos_p;id_cad_1;idnum;inten;malt_cand;mode;prise_ilum;puis;tens;vasque;color_coff;date_valid;modified_b;lon;lat
25000;840087;201;;006;006b20120171017101225;;;SCHREDER;Moyen;SHP;100;;;;;;;/;0,0;0,0;;;;;006b20120171017101225;Oui (S) Fusible;;b;0,0;;0;0,0;Oui (Tresse);Z2;NON;0;0;Absente;#B5F4B4;;;844236,6206392769;6341063,1891138535
25001;840087;159;;035;035d15920170823164150;;;ECLATEC;Correct;IM;100;;;;;;;/;0,0;0,0;correct;;;;035d15920170823164150;Oui (S) Fusible;;d;0,0;;0;0,0;Oui (Tresse);BTX;NON;0;0;Correct;#24497D;;;844117,6421564519;6340605,368907636
25002;840087;040;;035;035e04020170830112407;;;ECLATEC;Correct;IM;100;;;;;;;/;0,0;0,0;correct;;;;035e04020170830112407;Oui (S) Fusible;;e;0,0;;0;0,0;Oui (Tresse);BTX;OUI;0;0;Correct;#E70328;;;844217,1294820384;6340797,070192472
25003;840087;087;;035;035e08720171030121011;;;SCHREDER;Moyen;IM;100;;;;;;;OUI;0,0;0,0;moyen;;;;035e08720171030121011;Oui (A) Fusible;;e;0,0;;0;0,0;/;Z2;NON;0;0;Correct;#DBB2F8;;;846101,2329785262;6339047,863278163
25004;840087;153;;036;036020171121120607;;;ECLATEC;;IM;100;;;;;;;/;0,0;0,0;Correct;;;;;RUE DE BELGIQUE;b;;0,0;036020171121120607;0;1,5;AT 5fils;BTX;OUI;0;6;Correcte;#21BD1C;;;845489,6720680196;6338858,354922306
25005;840087;086;;036;036020171124141707;;;SCHREDER;;IM;100;;;;;;;/;0,0;0,0;Correct;;;;;RUE DE BELGIQUE;c;;0,0;036020171124141707;0;1,5;AT 5fils;Z2;OUI;0;6;Correcte;#378D95;;;845286,0738813279;6339183,810777133
25006;840087;067;;036;036020171130112001;;;VIEUX LUMINAIRE;;BF;125;;;;;;;/;0,0;0,0;Moyen;;;;;ROUTE DE PARC;b;;0,0;036020171130112001;0;1,2;AT 2fils;;NON;0;5;Absente;#71953C;;;846052,0380647876;6338613,759645878
25007;840087;063;;036;036020171130144333;;;BOULE;;BF;125;;;;;;;Oui (Tresse);0,0;0,0;Correct;;;;;RUE FRANZ SHUBERT;a;;0,0;036020171130144333;0;0,0;S;OPALE;/;0;3;Correct;#FD7BA0;;;846605,9570555808;6338717,720746652
25008;840087;086;;001;001020171120104017;;;MAZDA;;SHP;250;;;;;;;/;0,0;0,0;Correct;PH100-1 A LA TERRE;;;;RUE DE BELGIQUE;c;;0,0;001020171120104017;0;1,5;AT 5fils;SOLAIR;OUI;0;6;Absente;#378D95;;;845617,2329604616;6339246,008588438
25009;840087;079;;001;001020171120135317;;;INDAL;;SHP;100;;;;;;;/;0,0;0,0;Correct;;;;;RUE DE BELGIQUE;a;;0,0;001020171120135317;0;1,5;AT 5fils;IVA;OUI;0;6;Correcte;#92DC5E;;;845876,0005918737;6339025,491271705
25010;840087;155;;001;001020171121101453;;;LUMIERES DE FRANCE;;SHP;100;;;;;;;/;0,0;0,0;Correct;;;;;RUE DE BELGIQUE;a;;0,0;001020171121101453;0;1,5;AT 5fils;VISIO;OUI;0;6;Correcte;#331F7D;;;845244,6955257042;6338955,717547544
25011;840087;153;;001;001020171121104853;;;ECLATEC;;LED;20;;;;;;;/;0,0;0,0;Correct;;;;;RUE DE BELGIQUE;a;;0,0;001020171121104853;0;1,5;AT 5fils;PIXEL;OUI;0;6;Correcte;#21BD1C;;;845363,6822752269;6338732,557385135
25012;840087;077;;001;001020171121162725;;;BOULE;;BF;125;;;;;;;/;0,0;0,0;Correct;;;;;RUE DE BELGIQUE;c;;0,0;001020171121162725;0;1,5;AT 5fils;CLAIR;OUI;0;6;Sale;#F34FF8;;;845492,0093285142;6338781,724777763
25013;840087;154;;001;001020171130101431;;;INDAL;;SHP;100;;;;;;;/;0,0;0,0;Correct;;;;;RESIDENCE LES JARDINS;a;;0,0;001020171130101431;0;0,7;AT 2fils;IVA;NON;0;6;Absente;#25E5AF;;;845348,4823651282;6338827,586077667
25014;840087;067;;001;001020171130102915;;;ECLATEC;;IM;100;;;;;;;Oui (Tresse);0,0;0,0;Correct;;;;;RUE DES SABLES;a;;0,0;001020171130102915;0;0,2;S;BTX;/;0;6;Correct;#71953C;;;845999,0064980192;6338446,505294135
25015;840087;060;;001;001020171130115411;;;ECLATEC;;IM;100;;;;;;;Oui (Tresse);0,0;0,0;Correct;;;;;AV DES COURREGES;a;;0,0;001020171130115411;0;0,2;S;BTX;/;0;6;Correct;#FB8DEA;;;846332,1871883054;6338261,100344607
25016;840087;061;;001;001020171130141658;;;INDAL;;SHP;100;;;;;;;Oui (Tresse);0,0;0,0;Moyen;;;;;RUE GUILLAUME APPOLINAIRE;a;;0,0;001020171130141658;0;0,0;S;IJB;/;0;3;Correct;#254687;;;846522,5556483502;6338609,791591575
25017;840087;217;;001;001020171130162356;;;VIEUX LUMINAIRE;;BF;125;;;;;;;/;0,0;0,0;Correct;;;;;RUE ALEXANRE FLEMING;a;;0,0;001020171130162356;0;1,2;AT 5fils;;OUI;0;6;Absente;#137346;;;846435,4952735071;6337765,156706087
25018;840087;213;;001;001020171212110309;;;SCHREDER;;IM;100;;;;;;;Oui (Tresse);0,0;0,0;Moyen;;;;;AV DES CREMADES;a;;0,0;001020171212110309;0;1,0;S;Z2;/;0;7;Correct;#DAD4BB;;;846458,1367062591;6338422,850140165
25019;840087;053;;001;001020171212140516;;;BOULE;;SHP;100;;;;;;;Oui (Tresse);0,0;0,0;Moyen;;;;;RUE PAUL CEZANE;a;;0,0;001020171212140516;0;0,0;S;CLAIR;/;0;4;Correct;#384EA4;;;846896,3267382802;6338274,05409589
25020;840087;065;;001;001020171212150035;;;ECLATEC;;LED;48;;;;;;;Oui (Tresse);0,0;0,0;Correct;;;;;RUE DE MEYNE CLAIRE;a;;0,0;001020171212150035;0;0,2;S;PIXEL 2;/;0;7;Correct;#9465DA;;;845871,562181394;6338315,6275076
25021;840087;061;;036;036020171130152956;;;PH TEL 3;;BF;125;;;;;;;Oui (Tresse);0,0;0,0;Moyen;Lampe éteinte;;;;AV DE COURREGES;b;;0,0;036020171130152956;0;0,1;S;;/;0;5;Absente;#254687;;;846480,8476095671;6338633,562749268
25022;840087;145;;001;001020171226133924;;;-+;;BF;125;;;;;;;;0,0;0,0;Sans objet;PHOTO 1;;;;LOTISSEMENT;a;;0,0;001020171226133924;0;0,0;AERO/S;;/;0;3;Sale;#9E81DE;;;844736,7029654874;6339541,5822289735
25023;840087;214;;001;001020180110103315;;;THORN;;SHP;100;;;;;;;Oui (Tresse);0,0;0,0;Moyen;;;;;RUE KATYN;a;;0,0;001020180110103315;0;0,0;S;PILOTE;/;0;5;Absente;#D2D2F0;;;846403,307375503;6338013,805557661
25024;840087;XX5;;001;001020180110141129;;;ECLATEC;;IM;100;;;;;;;Oui (Tresse);0,0;0,0;Correct;;;;;ART ROYAL;a;;0,0;001020180110141129;0;0,2;S;BTX;/;0;6;Correct;#6AE28D;;;846748,9166423009;6337630,398929737
25025;840087;XX6;;001;001020180110151000;;;INDAL;;SHP;100;;;;;;;Oui (Tresse);0,0;0,0;Correct;;;;;LOT CH COSTIERES DU COUDOULET;a;;0,0;001020180110151000;0;0,0;S;IVA;/;0;5;Correct;#FAC0E9;;;846764,03399989;6337664,911025111
25026;840087;XX7;;001;001020180110153341;;;INDAL;;SHP;100;;;;;;;Oui (Tresse);0,0;0,0;Correct;;;;;RUE DU COTEAU;a;;0,0;001020180110153341;0;0,0;S;IVA;/;0;6;Correct;#6B4B34;;;846666,066102717;6337646,017689781
25027;840087;XX8;;001;001020180110154804;;;BOULE;;FC;60;;;;;;;Non;0,0;0,0;Moyen;;;;;IMP ART ROYAL;a;;0,0;001020180110154804;0;0,0;S;OPALE;/;0;4;Correct;#4791C7;;;846548,3631238324;6337654,599914424
25028;840087;122;;001;001020180111111119;;;ECLATEC;;IM;100;;;;;;;Oui (Tresse);0,0;0,0;Correct;;;;;PARKING MAZARIN;b;;0,0;001020180111111119;0;0,2;S;BTX;/;0;6;Correct;#12957D;;;845099,1913146055;6339371,627108307
25029;840087;213;;036;036020171212112607;;;SCHREDER;;IM;100;;;;;;;Oui (Tresse);0,0;0,0;Moyen;;;;;AV DES CREMADES;c;;0,0;036020171212112607;0;1,0;S;Z2;/;0;7;Correct;#DAD4BB;;;846898,5961670859;6338409,277731937
25030;840087;115;;001;001020180111154032;;;GC ILLUMINATION;;SHP;100;;;;;;;/;0,0;0,0;Correct;;;;;RUE CONTRESCARPE;a;;0,0;001020180111154032;0;1,0;AN;FG;/;0;7;Absente;#569622;;;845033,0190280462;6339060,825707685
25031;840087;103;;001;001020180116095420;;;ECLATEC;;SHP;150;;;;;;;Oui (Tresse);0,0;0,0;Correct;;;;;RUE DE CHATEAU--;a;;0,0;001020180116095420;0;0,0;S;BTX;/;0;7;Correct;#EADFDC;;;845603,121271634;6337523,172498407
25032;840087;164;;001;001020180116110029;;;SCHREDER;;SHP;100;;;;;;;/;0,0;0,0;Correct;;;;;RUE DES CHENES VERT;a;;0,0;001020180116110029;0;1,5;AT 5fils;Z2;OUI;0;7;Correct;#6C6B39;;;846131,8669348651;6336581,416124779
25033;840087;025;;001;001020180116114928;;;DISANO;;SHP;100;;;;;;;Oui (Tresse);0,0;0,0;Moyen;;;;;CLOS ST JACQUES;a;;0,0;001020180116114928;0;0,0;S;CLIMA;/;0;4;Correct;#234F5D;;;845874,8061920048;6337506,404992349
25034;840087;024;;001;001020180116120537;;;ECLATEC;;LED;18;;;;;;;Oui (Tresse);0,0;0,0;Correct;;;;;ALLEE NICEPHORE NIEPCE;b;;0,0;001020180116120537;0;0,0;S;TWEET;/;0;6;Correct;#1BCE93;;;846224,8253261213;6337219,220731951
25035;840087;027;;001;001020180116141856;;;BOULE;;SHP;100;;;;;;;Oui (Tresse);0,0;0,0;Moyen;Lampe éteinte;;;;HAMEAU DU COUDOULET;a;;0,0;001020180116141856;0;0,0;S;CLAIR;/;0;4;Cassé;#BFB6EB;;;846171,9123103126;6337487,686667168
25036;840087;XX9;;001;001020180116153535;;;THORN;;SHP;70;;;;;;;Oui (Tresse);0,0;0,0;Correct;;;;;ALLEE DU MIDI;a;;0,0;001020180116153535;0;0,0;S;RIVIERA;/;0;5;Correct;#CD6CF1;;;845648,3515532434;6337443,827880458
25037;840087;102;;001;001020180116155211;;;INDAL;;SHP;100;;;;;;;Non;0,0;0,0;Correct;;;;;RUE DES BRUYERES;a;;0,0;001020180116155211;0;1,0;AERO/S;IVA;/;0;7;Correct;#B3C171;;;846186,2063150366;6337737,7309105825
25038;840087;026;;001;001020180116161630;;;VIEUX LUMINAIRE;;BF;125;;;;;;;/;0,0;0,0;Correct;;;;;RUE PROSPERE MERIMEE;b;;0,0;001020180116161630;0;1,2;AT 5fils;;OUI;0;7;Absente;#7E0576;;;846359,2418592804;6337300,664367244
25039;840087;252;;001;001020180116165339;;;ECLATEC;;IM;100;;;;;;;Oui (Tresse);0,0;0,0;Correct;;;;;RUE DU DR ALLAUZENE;a;;0,0;001020180116165339;0;0,2;S;BTX;/;0;6;Correct;#FB5D90;;;846055,2302135394;6337133,225201563
25040;840087;256;;001;001020180116173839;;;ECLATEC;;IM;100;;;;;;;Oui (Tresse);0,0;0,0;Correct;;;;;AV SAINT MARC;a;;0,0;001020180116173839;0;0,2;S;PIXEL;/;0;7;Correct;#53C42B;;;845752,4380735862;6336780,919501256
25041;840087;X10;;001;001020180117102645;;;ECLATEC;;IM;100;;;;;;;Oui (Tresse);0,0;0,0;Correct;;;;;IMP ALAIN FOURNIER;a;;0,0;001020180117102645;0;0,2;S;BTX;/;0;6;Correct;#97EBC0;;;845659,4441472084;6337306,803047898
25042;840087;X11;;001;001020180117112547;;;ECLATEC;;IM;100;;;;;;;Oui (Tresse);0,0;0,0;Correct;;;;;RUE JACQUES PERRET;a;;0,0;001020180117112547;0;0,2;S;BTX;/;0;6;Correct;#BD0C68;;;845984,135182883;6337301,186511656
25043;840087;X12;;001;001020180117120803;;;PH102-11;;BF;125;;;;;;;Oui (V/J);0,0;0,0;Moyen;Lampe éteinte;;;;IMP 259 RUE DES CHENES VERTS;a;;0,0;001020180117120803;0;0,0;S;;/;0;3;Correct;#BFA479;;;846262,8875913979;6337397,611503696
25044;840087;066;;036;036020171212162616;;;ECLATEC;;IM;150;;;;;;;Oui (Tresse);0,0;0,0;Correct;;;;;RUE ALBERT DE BELLEROCHE;b;;0,0;036020171212162616;0;0,2;S;BTX;/;0;7;Correct;#E90C74;;;846226,4048999763;6338070,243334013
25045;840087;056;;001;001020180117142251;;;ECLATEC;;IM;100;;;;;;;Oui (Tresse);0,0;0,0;Correct;;;;;CH DE MEYNE CLAIRE;b;;0,0;001020180117142251;0;0,2;S;BTX;/;0;7;Correct;#CFBB95;;;846382,546278392;6338126,142442786
25046;840087;005;;001;001020180122101555;;;ECLATEC;;IM;100;;;;;;;Oui (Tresse);0,0;0,0;Correct;;;;;ALLEE DE L'ESCADRON 1/5 DE VENDEE;a;;0,0;001020180122101555;0;0,2;S;BTX;/;0;7;Correct;#A16461;;;847503,9241460689;6336954,893749811
25047;840087;X13;;001;001020180122103639;;;ECLATEC;;SHP;150;;;;;;;Oui (Tresse);0,0;0,0;Correct;;;;;IMP 130 ALLEE DE L'ESCADRON 1/5 DE VENDEE;a;;0,0;001020180122103639;0;0,2;S;BTX;/;0;7;Correct;#BCCEEB;;;847495,0940656437;6336896,825002597
