id,ligne,gare_depart,destination,position_gps,heure_de_captage,depart
1,21,Stade Charléty,Gare Saint-Lazare,"48.866867,2.386929",2025-06-30 17:09:49,2025-06-30 16:57:49
2,38,Gare du Nord,Porte d'Orléans,"48.885514,2.362134",2025-06-30 17:09:49,2025-06-30 16:59:49
3,47,Fort du Kremlin,Châtelet,"48.802446,2.392169",2025-06-30 17:09:49,2025-06-30 16:55:49
4,63,Porte de la Muette,Gare de Lyon,"48.88694,2.37539",2025-06-30 17:09:49,2025-06-30 16:54:49
5,72,Hôtel de Ville,Parc de Saint-Cloud,"48.8811,2.403144",2025-06-30 17:09:49,2025-06-30 17:00:49
6,82,Luxembourg,Neuilly,"48.879547,2.379337",2025-06-30 17:09:49,2025-06-30 17:00:49
7,91,Bastille,Montparnasse,"48.897601,2.418616",2025-06-30 17:09:49,2025-06-30 17:03:49
8,96,Gare Montparnasse,Porte des Lilas,"48.823312,2.300538",2025-06-30 17:09:49,2025-06-30 17:00:49
9,27,Gare Saint-Lazare,Porte d’Ivry,"48.813567,2.399766",2025-06-30 17:09:49,2025-06-30 16:59:49
10,69,Champ de Mars,Gambetta,"48.878641,2.405022",2025-06-30 17:09:49,2025-06-30 17:01:49
11,24,Pont Neuf,École Militaire,"48.85205,2.376534",2025-06-30 17:09:49,2025-06-30 17:02:49
12,52,La Muette,Opéra,"48.854297,2.313028",2025-06-30 17:09:49,2025-06-30 17:04:49
13,73,La Défense,Musée d'Orsay,"48.810118,2.40149",2025-06-30 17:09:49,2025-06-30 17:02:49
14,30,Porte Maillot,Gare de l'Est,"48.891871,2.350429",2025-06-30 17:09:49,2025-06-30 17:02:49
15,87,Gare de Lyon,Bibliothèque F. Mitterrand,"48.876162,2.38854",2025-06-30 17:09:49,2025-06-30 17:03:49
