id_bus,ligne,gare_depart,gare_retard,heure_arrivee_prevue,heure_arrivee_reelle
1,21,Stade Charléty,Alésia,08:28,08:36
1,21,Stade Charléty,Denfert-Rochereau,08:01,08:03
1,21,Stade Charléty,Denfert-Rochereau,08:32,08:40
1,21,Stade Charléty,Montparnasse,08:39,08:54
1,21,Stade Charléty,Denfert-Rochereau,08:06,08:10
1,21,Stade Charléty,Opéra,08:55,09:08
2,21,Stade Charléty,Montparnasse,08:54,09:07
2,21,Stade Charléty,Gare Saint-Lazare,08:25,08:28
2,21,Stade Charléty,Opéra,08:55,09:06
2,21,Stade Charléty,Opéra,08:15,08:22
2,21,Stade Charléty,Denfert-Rochereau,08:44,08:58
3,21,Stade Charléty,Denfert-Rochereau,08:55,09:08
3,21,Stade Charléty,Montparnasse,08:04,08:05
3,21,Stade Charléty,Opéra,08:59,09:03
4,21,Stade Charléty,Denfert-Rochereau,08:31,08:38
4,21,Stade Charléty,Denfert-Rochereau,08:20,08:26
4,21,Stade Charléty,Opéra,08:52,09:00
5,21,Stade Charléty,Alésia,08:16,08:22
5,21,Stade Charléty,Montparnasse,08:41,08:53
5,21,Stade Charléty,Opéra,08:41,08:52
5,21,Stade Charléty,Alésia,08:44,08:57
5,21,Stade Charléty,Denfert-Rochereau,08:06,08:17
5,21,Stade Charléty,Opéra,08:41,08:48
6,21,Stade Charléty,Gare Saint-Lazare,08:31,08:35
6,21,Stade Charléty,Gare Saint-Lazare,08:19,08:28
6,21,Stade Charléty,Montparnasse,08:49,08:57
7,21,Stade Charléty,Montparnasse,08:56,08:59
7,21,Stade Charléty,Denfert-Rochereau,08:29,08:43
7,21,Stade Charléty,Montparnasse,08:45,09:00
7,21,Stade Charléty,Opéra,08:59,09:00
7,21,Stade Charléty,Gare Saint-Lazare,08:29,08:35
8,21,Stade Charléty,Gare Saint-Lazare,08:06,08:21
8,21,Stade Charléty,Denfert-Rochereau,08:50,09:02
8,21,Stade Charléty,Denfert-Rochereau,08:02,08:10
8,21,Stade Charléty,Alésia,08:30,08:39
9,21,Stade Charléty,Denfert-Rochereau,08:32,08:43
9,21,Stade Charléty,Gare Saint-Lazare,08:57,09:01
9,21,Stade Charléty,Gare Saint-Lazare,08:40,08:41
9,21,Stade Charléty,Opéra,08:57,09:11
9,21,Stade Charléty,Alésia,08:55,09:01
10,21,Stade Charléty,Denfert-Rochereau,08:59,09:06
10,21,Stade Charléty,Opéra,08:47,08:49
10,21,Stade Charléty,Alésia,08:11,08:24
10,21,Stade Charléty,Gare Saint-Lazare,08:43,08:50
11,38,Gare du Nord,Alésia,08:28,08:43
11,38,Gare du Nord,Châtelet,08:58,09:09
11,38,Gare du Nord,Alésia,08:13,08:18
11,38,Gare du Nord,Porte d'Orléans,08:57,09:05
12,38,Gare du Nord,Luxembourg,08:59,09:07
12,38,Gare du Nord,Porte d'Orléans,08:37,08:45
12,38,Gare du Nord,Châtelet,08:53,09:04
12,38,Gare du Nord,Raspail,08:04,08:14
13,38,Gare du Nord,Luxembourg,08:40,08:43
13,38,Gare du Nord,Porte d'Orléans,08:33,08:39
13,38,Gare du Nord,Alésia,08:45,08:47
14,38,Gare du Nord,Raspail,08:01,08:11
14,38,Gare du Nord,Raspail,08:12,08:19
14,38,Gare du Nord,Alésia,08:46,08:49
14,38,Gare du Nord,Luxembourg,08:11,08:20
15,38,Gare du Nord,Porte d'Orléans,08:30,08:43
15,38,Gare du Nord,Porte d'Orléans,08:51,09:04
15,38,Gare du Nord,Alésia,08:44,08:58
15,38,Gare du Nord,Luxembourg,08:15,08:29
15,38,Gare du Nord,Raspail,08:46,08:52
15,38,Gare du Nord,Porte d'Orléans,08:19,08:27
16,38,Gare du Nord,Alésia,08:18,08:24
16,38,Gare du Nord,Châtelet,08:18,08:28
16,38,Gare du Nord,Porte d'Orléans,08:13,08:16
16,38,Gare du Nord,Luxembourg,08:47,08:57
16,38,Gare du Nord,Raspail,08:25,08:38
16,38,Gare du Nord,Châtelet,08:52,08:55
17,38,Gare du Nord,Châtelet,08:25,08:31
17,38,Gare du Nord,Luxembourg,08:08,08:16
17,38,Gare du Nord,Luxembourg,08:14,08:16
17,38,Gare du Nord,Châtelet,08:30,08:40
17,38,Gare du Nord,Porte d'Orléans,08:32,08:43
18,38,Gare du Nord,Luxembourg,08:47,08:53
18,38,Gare du Nord,Alésia,08:55,08:56
18,38,Gare du Nord,Porte d'Orléans,08:46,08:47
18,38,Gare du Nord,Luxembourg,08:49,09:01
19,38,Gare du Nord,Raspail,08:28,08:38
19,38,Gare du Nord,Porte d'Orléans,08:43,08:52
19,38,Gare du Nord,Luxembourg,08:45,09:00
19,38,Gare du Nord,Porte d'Orléans,08:28,08:42
19,38,Gare du Nord,Châtelet,08:08,08:15
20,38,Gare du Nord,Porte d'Orléans,08:32,08:42
20,38,Gare du Nord,Porte d'Orléans,08:39,08:53
20,38,Gare du Nord,Châtelet,08:50,08:55
21,47,Fort du Kremlin,Gare d'Austerlitz,08:10,08:12
21,47,Fort du Kremlin,Place d'Italie,08:12,08:25
21,47,Fort du Kremlin,Hôtel de Ville,08:53,08:58
21,47,Fort du Kremlin,Ivry,08:25,08:37
21,47,Fort du Kremlin,Place d'Italie,08:08,08:14
22,47,Fort du Kremlin,Gare d'Austerlitz,08:53,09:00
22,47,Fort du Kremlin,Gare d'Austerlitz,08:11,08:13
22,47,Fort du Kremlin,Châtelet,08:36,08:42
22,47,Fort du Kremlin,Place d'Italie,08:52,08:59
23,47,Fort du Kremlin,Châtelet,08:43,08:46
23,47,Fort du Kremlin,Gare d'Austerlitz,08:43,08:45
