ligne,nom_arret,placement_gare,heure_passage,ordre_arret
21,Stade Charléty,Arrêt 1 - Ligne 21,2025-07-01 09:13:00,1
21,Place d’Italie,Arrêt 2 - Ligne 21,2025-07-01 09:17:00,2
21,Glacière,Arrêt 3 - Ligne 21,2025-07-01 09:19:00,3
21,Denfert-Rochereau,Arrêt 4 - Ligne 21,2025-07-01 09:28:00,4
21,Raspail,Arrêt 5 - Ligne 21,2025-07-01 09:25:00,5
21,Gare Saint-Lazare,Arrêt 6 - Ligne 21,2025-07-01 09:28:00,6
38,Gare du Nord,Arrêt 1 - Ligne 38,2025-07-01 06:39:00,1
38,Saint-Michel,Arrêt 2 - Ligne 38,2025-07-01 06:43:00,2
38,Cluny - La Sorbonne,Arrêt 3 - Ligne 38,2025-07-01 06:45:00,3
38,Luxembourg,Arrêt 4 - Ligne 38,2025-07-01 06:54:00,4
38,Alésia,Arrêt 5 - Ligne 38,2025-07-01 06:51:00,5
38,Porte d'Orléans,Arrêt 6 - Ligne 38,2025-07-01 07:04:00,6
47,Fort du Kremlin,Arrêt 1 - Ligne 47,2025-07-01 09:47:00,1
47,Maison Blanche,Arrêt 2 - Ligne 47,2025-07-01 09:50:00,2
47,Place d’Italie,Arrêt 3 - Ligne 47,2025-07-01 09:57:00,3
47,Censier Daubenton,Arrêt 4 - Ligne 47,2025-07-01 10:02:00,4
47,Châtelet,Arrêt 5 - Ligne 47,2025-07-01 10:03:00,5
63,Porte de la Muette,Arrêt 1 - Ligne 63,2025-07-01 10:32:00,1
63,Trocadéro,Arrêt 2 - Ligne 63,2025-07-01 10:37:00,2
63,Iéna,Arrêt 3 - Ligne 63,2025-07-01 10:40:00,3
63,Invalides,Arrêt 4 - Ligne 63,2025-07-01 10:41:00,4
63,Quai d’Orsay,Arrêt 5 - Ligne 63,2025-07-01 10:48:00,5
63,Gare de Lyon,Arrêt 6 - Ligne 63,2025-07-01 10:47:00,6
72,Hôtel de Ville,Arrêt 1 - Ligne 72,2025-07-01 07:39:00,1
72,Pont Neuf,Arrêt 2 - Ligne 72,2025-07-01 07:43:00,2
72,Musée d'Orsay,Arrêt 3 - Ligne 72,2025-07-01 07:45:00,3
72,Trocadéro,Arrêt 4 - Ligne 72,2025-07-01 07:48:00,4
72,Boulogne Jean Jaurès,Arrêt 5 - Ligne 72,2025-07-01 07:59:00,5
72,Parc de Saint-Cloud,Arrêt 6 - Ligne 72,2025-07-01 08:04:00,6
82,Luxembourg,Arrêt 1 - Ligne 82,2025-07-01 10:13:00,1
82,Port Royal,Arrêt 2 - Ligne 82,2025-07-01 10:18:00,2
82,Montparnasse,Arrêt 3 - Ligne 82,2025-07-01 10:19:00,3
82,Pasteur,Arrêt 4 - Ligne 82,2025-07-01 10:25:00,4
82,Convention,Arrêt 5 - Ligne 82,2025-07-01 10:33:00,5
82,Neuilly,Arrêt 6 - Ligne 82,2025-07-01 10:33:00,6
91,Bastille,Arrêt 1 - Ligne 91,2025-07-01 09:24:00,1
91,Gare de Lyon,Arrêt 2 - Ligne 91,2025-07-01 09:29:00,2
